[20, 23, 28, 40, 43, 48]
[04, 14, 17, 30, 46, 49]
[01, 14, 30, 32, 35, 46]
[04, 11, 28, 34, 40, 49]
[01, 20, 33, 35, 37, 49]
[04, 06, 07, 09, 26, 45]
[01, 04, 05, 32, 37, 41]
[12, 19, 25, 32, 40, 42]
[04, 10, 27, 29, 48, 49]
[07, 20, 25, 40, 42, 48]
[04, 10, 24, 36, 38, 39]
[03, 09, 32, 33, 35, 36]
[04, 15, 30, 36, 44, 45]
[03, 05, 27, 31, 39, 46]
[02, 07, 13, 26, 30, 37]
[06, 10, 16, 27, 30, 31]
[06, 07, 36, 40, 44, 49]
[07, 09, 22, 29, 30, 36]
[01, 16, 28, 31, 34, 45]
[22, 23, 25, 31, 39, 49]
[02, 05, 13, 33, 36, 47]
[01, 04, 08, 17, 22, 24]
[11, 13, 20, 22, 28, 48]
[05, 06, 19, 22, 27, 36]
[03, 14, 20, 36, 41, 48]
[14, 30, 42, 44, 47, 49]
[03, 09, 13, 17, 29, 39]
[04, 07, 09, 10, 16, 25]
[09, 18, 23, 32, 41, 44]
[09, 11, 22, 26, 40, 47]
[04, 18, 23, 31, 34, 36]
[06, 23, 35, 37, 44, 48]
[16, 27, 33, 42, 45, 48]
[08, 11, 12, 29, 42, 46]
[03, 12, 22, 24, 36, 49]
[03, 05, 15, 29, 35, 40]
[04, 20, 31, 35, 40, 46]
[05, 12, 28, 37, 42, 46]
[01, 29, 33, 36, 40, 44]
[11, 20, 24, 33, 41, 45]
[13, 25, 27, 31, 37, 41]
[02, 05, 17, 32, 37, 49]
[07, 15, 24, 35, 44, 49]
[03, 24, 26, 33, 34, 41]
[09, 25, 33, 36, 42, 44]
[03, 10, 21, 28, 40, 47]
[01, 09, 24, 36, 40, 42]
[06, 14, 22, 33, 36, 42]
[01, 04, 07, 13, 14, 32]
[13, 19, 22, 31, 34, 45]
[01, 10, 11, 13, 37, 47]
[04, 11, 22, 27, 45, 46]
[09, 21, 31, 32, 41, 42]
[08, 13, 16, 34, 44, 49]
[05, 16, 17, 19, 39, 44]
[06, 19, 32, 38, 43, 47]
[07, 16, 20, 26, 29, 40]
[09, 24, 32, 33, 35, 45]
[11, 19, 34, 36, 47, 48]
[04, 18, 28, 29, 33, 48]
[04, 11, 16, 22, 32, 36]
[12, 14, 19, 29, 31, 41]
[08, 09, 22, 26, 41, 45]
[01, 28, 35, 39, 47, 48]
[02, 16, 21, 22, 45, 49]
[13, 17, 20, 38, 44, 45]
[12, 21, 25, 26, 32, 38]
[13, 17, 18, 19, 34, 48]
[13, 24, 30, 37, 38, 46]
[16, 17, 20, 41, 46, 48]
[11, 31, 36, 40, 44, 47]
[16, 21, 25, 39, 42, 49]
[03, 08, 19, 22, 38, 47]
[09, 25, 26, 36, 37, 43]
[09, 15, 20, 22, 23, 29]
[08, 26, 33, 41, 42, 48]
[05, 17, 36, 39, 43, 45]
[13, 17, 21, 37, 38, 45]
[14, 16, 20, 21, 29, 48]
[02, 08, 11, 18, 30, 38]
[02, 07, 18, 27, 42, 47]
[04, 10, 18, 20, 23, 37]
[08, 15, 18, 19, 31, 42]
[18, 24, 25, 32, 36, 38]
[14, 18, 26, 32, 35, 37]
[09, 10, 31, 37, 47, 49]
[05, 07, 19, 23, 27, 47]
[07, 10, 20, 29, 34, 40]
[11, 18, 23, 25, 31, 38]
[14, 17, 19, 22, 30, 39]
[08, 16, 22, 34, 40, 48]
[06, 08, 16, 28, 32, 35]
[01, 09, 17, 25, 31, 44]
[03, 18, 22, 24, 26, 43]
[09, 13, 19, 40, 43, 44]
[01, 16, 19, 39, 47, 48]
[06, 08, 24, 33, 43, 46]
[08, 20, 23, 33, 34, 46]
[05, 15, 18, 25, 34, 49]
[02, 19, 20, 26, 30, 43]
